date,time,currency,impact,event,actual,forecast,previous
Jan 5,7:00am,USD,red,ISM Manufacturing PMI,47.9,48.3,48.2
Jan 6,4:30pm,AUD,red,CPI m/m,0.0%,0.1%,0.0%
Jan 6,4:30pm,AUD,red,CPI y/y,3.4%,3.6%,3.8%
Jan 6,4:30pm,AUD,red,Trimmed Mean CPI m/m,0.3%,0.2%,0.3%
Jan 7,5:15am,USD,red,ADP Non-Farm Employment Change,41K,49K,-29K
Jan 7,7:00am,USD,red,ISM Services PMI,54.4,52.2,52.6
Jan 7,7:00am,USD,red,JOLTS Job Openings,7.15M,7.61M,7.45M
Jan 7,11:30pm,CHF,red,CPI m/m,0.0%,0.0%,-0.2%
Jan 8,5:30am,USD,red,Unemployment Claims,208K,213K,200K
Jan 9,5:30am,CAD,red,Employment Change,8.2K,-1.8K,53.6K
Jan 9,5:30am,CAD,red,Unemployment Rate,6.8%,6.7%,6.5%
Jan 9,5:30am,USD,red,Average Hourly Earnings m/m,0.3%,0.3%,0.1%
Jan 9,5:30am,USD,red,Non-Farm Employment Change,50K,66K,56K
Jan 9,5:30am,USD,red,Unemployment Rate,4.4%,4.5%,4.6%
Jan 9,7:00am,USD,red,Prelim UoM Consumer Sentiment,54.0,53.5,52.9
Jan 9,7:00am,USD,red,Prelim UoM Inflation Expectations,4.2%,N/A,4.2%
Jan 13,5:30am,USD,red,Core CPI m/m,0.2%,0.3%,0.2%
Jan 13,5:30am,USD,red,Core CPI y/y,2.6%,2.7%,2.6%
Jan 13,5:30am,USD,red,CPI m/m,0.3%,0.3%,0.3%
Jan 13,5:30am,USD,red,CPI y/y,2.7%,2.7%,2.7%
Jan 14,5:30am,USD,red,Core PPI m/m,0.0%,0.2%,0.3%
Jan 14,5:30am,USD,red,Core Retail Sales m/m,0.5%,0.4%,0.2%
Jan 14,5:30am,USD,red,PPI m/m,0.2%,0.2%,0.1%
Jan 14,5:30am,USD,red,Retail Sales m/m,0.6%,0.5%,-0.1%
Jan 14,11:00pm,GBP,red,GDP m/m,0.3%,0.1%,-0.1%
Jan 15,5:30am,USD,red,Unemployment Claims,198K,215K,207K
Jan 16,2:00am,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Jan 19,5:30am,CAD,red,CPI m/m,-0.2%,-0.4%,0.1%
Jan 19,5:30am,CAD,red,Median CPI y/y,2.5%,2.7%,2.8%
Jan 19,5:30am,CAD,red,Trimmed CPI y/y,2.7%,2.7%,2.9%
Jan 19,11:00pm,GBP,red,Claimant Count Change,17.9K,15.6K,-3.3K
Jan 20,1:45am,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Jan 20,11:00pm,GBP,red,CPI y/y,3.4%,3.3%,3.2%
Jan 21,5:30am,USD,red,President Trump Speaks,N/A,N/A,N/A
Jan 21,4:30pm,AUD,red,Employment Change,65.2K,28.3K,-28.7K
Jan 21,4:30pm,AUD,red,Unemployment Rate,4.1%,4.4%,4.3%
Jan 22,5:30am,USD,red,Final GDP q/q,4.4%,4.3%,4.3%
Jan 22,5:30am,USD,red,Unemployment Claims,200K,209K,199K
Jan 22,7:00am,USD,red,Core PCE Price Index m/m,0.2%,0.2%,0.2%
Jan 22,1:45pm,NZD,red,CPI q/q,0.6%,0.5%,1.0%
Jan 22,7:07pm,JPY,red,BOJ Outlook Report,N/A,N/A,N/A
Jan 22,7:07pm,JPY,red,BOJ Policy Rate,<0.75%,<0.75%,<0.75%
Jan 22,7:07pm,JPY,red,Monetary Policy Statement,N/A,N/A,N/A
Jan 22,10:30pm,JPY,red,BOJ Press Conference,N/A,N/A,N/A
Jan 22,11:00pm,GBP,red,Retail Sales m/m,0.4%,0.0%,-0.1%
Jan 23,12:30am,EUR,red,German Flash Manufacturing PMI,48.7,47.8,47.0
Jan 23,12:30am,EUR,red,German Flash Services PMI,53.3,52.6,52.7
Jan 23,1:30am,GBP,red,Flash Manufacturing PMI,51.6,50.6,50.6
Jan 23,1:30am,GBP,red,Flash Services PMI,54.3,51.7,51.4
Jan 23,6:45am,USD,red,Flash Manufacturing PMI,51.9,51.9,51.8
Jan 23,6:45am,USD,red,Flash Services PMI,52.5,52.9,52.5
Jan 27,4:30pm,AUD,red,CPI m/m,1.0%,0.7%,0.0%
Jan 27,4:30pm,AUD,red,CPI y/y,3.8%,3.5%,3.4%
Jan 27,4:30pm,AUD,red,Trimmed Mean CPI m/m,0.2%,0.3%,0.3%
Jan 28,6:45am,CAD,red,BOC Monetary Policy Report,N/A,N/A,N/A
Jan 28,6:45am,CAD,red,BOC Rate Statement,N/A,N/A,N/A
Jan 28,6:45am,CAD,red,Overnight Rate,2.25%,2.25%,2.25%
Jan 28,7:30am,CAD,red,BOC Press Conference,N/A,N/A,N/A
Jan 28,11:00am,USD,red,Federal Funds Rate,3.75%,3.75%,3.75%
Jan 28,11:00am,USD,red,FOMC Statement,N/A,N/A,N/A
Jan 28,11:30am,USD,red,FOMC Press Conference,N/A,N/A,N/A
Jan 29,5:30am,USD,red,Unemployment Claims,209K,206K,210K
Jan 30,5:30am,CAD,red,GDP m/m,0.0%,0.1%,-0.3%
Jan 30,5:30am,USD,red,Core PPI m/m,0.7%,0.2%,0.0%
Jan 30,5:30am,USD,red,PPI m/m,0.5%,0.2%,0.2%
