date,time,currency,impact,event,actual,forecast,previous
Sep 1,10:00pm,NZD,red,RBNZ Press Conference,N/A,N/A,N/A
Sep 1,11:45pm,EUR,yellow,French Gov Budget Balance,-145.9B,N/A,-106.8B
Sep 1,12:15am,EUR,yellow,Spanish Manufacturing PMI,49.5,50.3,50.2
Sep 1,12:30am,CHF,yellow,Manufacturing PMI,57.1,54.1,53.2
Sep 1,12:45am,EUR,yellow,Italian Manufacturing PMI,49.6,51.4,51.3
Sep 1,12:50am,EUR,yellow,French Final Manufacturing PMI,51.1,51.5,51.5
Sep 1,12:55am,EUR,yellow,German Final Manufacturing PMI,54.3,54.1,54.1
Sep 1,1:00am,EUR,yellow,Final Manufacturing PMI,52.7,52.8,52.8
Sep 1,1:30am,EUR,yellow,Italian Monthly Unemployment Rate,5.8%,5.6%,5.8%
Sep 1,1:30am,GBP,yellow,Final Manufacturing PMI,51.7,51.5,51.5
Sep 1,1:30am,GBP,yellow,M4 Money Supply m/m,-0.3%,0.9%,0.9%
Sep 1,1:30am,GBP,yellow,Mortgage Approvals,56K,59K,58K
Sep 1,1:30am,GBP,yellow,Net Lending to Individuals m/m,6.3B,7.2B,9.5B
Sep 1,1:30pm,USD,yellow,API Weekly Statistical Bulletin,N/A,N/A,N/A
Sep 1,2:00am,EUR,yellow,CPI Flash Estimate y/y,3.3%,3.3%,2.9%
Sep 1,2:00am,EUR,yellow,Core CPI Flash Estimate y/y,2.4%,2.5%,2.5%
Sep 1,2:00am,EUR,yellow,Italian Prelim CPI m/m,0.5%,0.5%,0.3%
Sep 1,2:00am,EUR,yellow,Unemployment Rate,6.4%,6.3%,6.4%
Sep 1,3:45pm,NZD,yellow,Building Consents m/m,-4.3%,N/A,-3.7%
Sep 1,4:50pm,JPY,yellow,Monetary Base y/y,-15.7%,-13.5%,-13.8%
Sep 1,5:30am,EUR,yellow,German Buba President Nagel Speaks,N/A,N/A,N/A
Sep 1,6:05am,USD,yellow,FOMC Member Barr Speaks,N/A,N/A,N/A
Sep 1,6:30am,CAD,yellow,Manufacturing PMI,53.0,N/A,53.5
Sep 1,6:30pm,AUD,yellow,GDP q/q,0.4%,0.3%,0.3%
Sep 1,6:45am,USD,yellow,Final Manufacturing PMI,53.9,53.3,53.2
Sep 1,7:00am,USD,yellow,Construction Spending m/m,-0.5%,0.0%,0.0%
Sep 1,7:00am,USD,yellow,ISM Manufacturing PMI,54.6,55.2,55.6
Sep 1,7:00am,USD,yellow,ISM Manufacturing Prices,71.1,70.5,71.1
Sep 1,7:00am,USD,yellow,JOLTS Job Openings,7.27M,7.33M,7.18M
Sep 1,7:00pm,NZD,yellow,Official Cash Rate,2.75%,2.75%,2.50%
Sep 1,7:00pm,NZD,yellow,RBNZ Monetary Policy Statement,N/A,N/A,N/A
Sep 1,7:00pm,NZD,yellow,RBNZ Rate Statement,N/A,N/A,N/A
Sep 1,7:04am,USD,yellow,RCM/TIPP Economic Optimism,45.6,46.2,45.1
Sep 1,8:00pm,NZD,yellow,RBNZ Press Conference,N/A,N/A,N/A
Sep 1,8:25am,NZD,yellow,GDT Price Index,0.9%,N/A,2.3%
Sep 1,8:30pm,AUD,red,GDP q/q,0.4%,0.3%,0.3%
Sep 1,9:00am,USD,red,ISM Manufacturing PMI,54.6,55.2,55.6
Sep 1,9:00pm,NZD,red,Official Cash Rate,2.75%,2.75%,2.50%
Sep 1,9:00pm,NZD,red,RBNZ Monetary Policy Statement,N/A,N/A,N/A
Sep 1,9:00pm,NZD,red,RBNZ Rate Statement,N/A,N/A,N/A
Sep 1,All Day,USD,yellow,Omdia Total Vehicle Sales,16.8M,16.3M,16.3M
Sep 10,10:01am,USD,yellow,30-y Bond Auction,N/A,N/A,5.22
Sep 10,11:00pm,GBP,yellow,Construction Output m/m,N/A,N/A,-0.1%
Sep 10,11:00pm,GBP,yellow,GDP m/m,N/A,N/A,0.3%
Sep 10,11:00pm,GBP,yellow,Goods Trade Balance,N/A,N/A,-23.0B
Sep 10,11:00pm,GBP,yellow,Index of Services 3m/3m,N/A,N/A,0.5%
Sep 10,11:00pm,GBP,yellow,Industrial Production m/m,N/A,N/A,-0.2%
Sep 10,11:00pm,GBP,yellow,Manufacturing Production m/m,N/A,N/A,-0.5%
Sep 10,1:00am,EUR,yellow,Italian Industrial Production m/m,N/A,N/A,-1.0%
Sep 10,3:30pm,NZD,yellow,BusinessNZ Manufacturing Index,N/A,N/A,54.3
Sep 10,4:50pm,JPY,yellow,BSI Manufacturing Index,N/A,N/A,-1.8
Sep 10,4:50pm,JPY,yellow,PPI y/y,N/A,N/A,7.2%
Sep 10,5:15am,EUR,yellow,Main Refinancing Rate,N/A,N/A,2.40%
Sep 10,5:15am,EUR,yellow,Monetary Policy Statement,N/A,N/A,N/A
Sep 10,5:30am,USD,yellow,Core PPI m/m,N/A,N/A,0.2%
Sep 10,5:30am,USD,yellow,PPI m/m,N/A,N/A,0.0%
Sep 10,5:30am,USD,yellow,Unemployment Claims,N/A,N/A,N/A
Sep 10,5:45am,EUR,yellow,ECB Press Conference,N/A,N/A,N/A
Sep 10,7:00am,USD,yellow,Existing Home Sales,N/A,N/A,4.06M
Sep 10,7:00am,USD,yellow,Final Wholesale Inventories m/m,N/A,N/A,1.3%
Sep 10,7:15am,EUR,red,Main Refinancing Rate,N/A,N/A,2.40%
Sep 10,7:15am,EUR,red,Monetary Policy Statement,N/A,N/A,N/A
Sep 10,7:30am,USD,red,Core PPI m/m,N/A,N/A,0.2%
Sep 10,7:30am,USD,yellow,Natural Gas Storage,N/A,N/A,N/A
Sep 10,7:30am,USD,red,PPI m/m,N/A,N/A,0.0%
Sep 10,7:45am,EUR,red,ECB Press Conference,N/A,N/A,N/A
Sep 10,9:00am,USD,yellow,Crude Oil Inventories,N/A,N/A,N/A
Sep 10,Tentative,EUR,yellow,German 30-y Bond Auction,N/A,N/A,N/A
Sep 10,Tentative,GBP,yellow,30-y Bond Auction,N/A,N/A,N/A
Sep 11,11:00am,USD,yellow,Federal Budget Balance,N/A,N/A,-432.3B
Sep 11,12:00am,CHF,yellow,SECO Consumer Climate,N/A,N/A,-35
Sep 11,1:00am,EUR,yellow,Italian Quarterly Unemployment Rate,N/A,N/A,5.3%
Sep 11,1:00am,GBP,red,GDP m/m,N/A,N/A,0.3%
Sep 11,1:30am,GBP,yellow,Consumer Inflation Expectations,N/A,N/A,N/A
Sep 11,5:30am,USD,yellow,CPI m/m,N/A,N/A,0.1%
Sep 11,5:30am,USD,yellow,CPI y/y,N/A,N/A,3.4%
Sep 11,5:30am,USD,yellow,Core CPI m/m,N/A,N/A,0.2%
Sep 11,5:30am,USD,yellow,Core CPI y/y,N/A,N/A,2.5%
Sep 11,7:00am,USD,yellow,Prelim UoM Consumer Sentiment,N/A,N/A,51.7
Sep 11,7:00am,USD,yellow,Prelim UoM Inflation Expectations,N/A,N/A,4.0%
Sep 11,7:30am,USD,red,CPI m/m,N/A,N/A,0.1%
Sep 11,7:30am,USD,red,CPI y/y,N/A,N/A,3.4%
Sep 11,7:30am,USD,red,Core CPI m/m,N/A,N/A,0.2%
Sep 11,7:30am,USD,red,Core CPI y/y,N/A,N/A,2.5%
Sep 11,Tentative,USD,yellow,Fed Monetary Policy Report,N/A,N/A,N/A
Sep 13,11:30pm,CHF,yellow,PPI m/m,N/A,N/A,N/A
Sep 13,11:45pm,EUR,yellow,French Final CPI m/m,N/A,N/A,N/A
Sep 13,13th-17th,NZD,yellow,Westpac Consumer Sentiment,N/A,N/A,N/A
Sep 13,3:30pm,NZD,yellow,BusinessNZ Services Index,N/A,N/A,N/A
Sep 13,3:45pm,NZD,yellow,Visitor Arrivals m/m,N/A,N/A,N/A
Sep 13,9:30pm,JPY,yellow,Revised Industrial Production m/m,N/A,N/A,N/A
Sep 13,Tentative,CNY,yellow,Foreign Direct Investment ytd/y,N/A,N/A,N/A
Sep 13,Tentative,CNY,yellow,M2 Money Supply y/y,N/A,N/A,N/A
Sep 13,Tentative,CNY,yellow,New Loans,N/A,N/A,N/A
Sep 14,11:00pm,GBP,yellow,Average Earnings Index 3m/y,N/A,N/A,N/A
Sep 14,11:00pm,GBP,yellow,Claimant Count Change,N/A,N/A,N/A
Sep 14,11:00pm,GBP,yellow,Unemployment Rate,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,CPI m/m,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,Common CPI y/y,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,Core CPI m/m,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,Manufacturing Sales m/m,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,Median CPI y/y,N/A,N/A,N/A
Sep 14,5:30am,CAD,yellow,Trimmed CPI y/y,N/A,N/A,N/A
