date,time,currency,impact,event,actual,forecast,previous
May 1,4:00am,NZD,yellow,RBNZ Financial Stability Report,N/A,N/A,N/A
May 1,5:45am,NZD,red,Employment Change q/q,-0.2%,0.3%,0.4%
May 1,5:45am,NZD,red,Unemployment Rate,4.3%,4.3%,4.0%
May 1,5:45am,NZD,yellow,Labor Cost Index q/q,0.8%,0.8%,1.0%
May 1,All Day,CNY,gray,Bank Holiday,N/A,N/A,N/A
May 1,7:30am,JPY,yellow,Final Manufacturing PMI,49.6,49.9,49.9
May 1,8:00am,NZD,orange,RBNZ Gov Orr Speaks,N/A,N/A,N/A
May 1,All Day,CHF,gray,Bank Holiday,N/A,N/A,N/A
May 1,1:00pm,GBP,yellow,Nationwide HPI m/m,-0.4%,0.1%,-0.2%
May 1,All Day,EUR,gray,French Bank Holiday,N/A,N/A,N/A
May 1,All Day,EUR,gray,German Bank Holiday,N/A,N/A,N/A
May 1,All Day,EUR,gray,Italian Bank Holiday,N/A,N/A,N/A
May 1,1:30pm,AUD,yellow,Commodity Prices y/y,-11.6%,N/A,-14.9%
May 1,3:30pm,GBP,yellow,Final Manufacturing PMI,49.1,48.7,48.7
May 1,4:03pm,GBP,yellow,10-y Bond Auction,4.37|3.1,N/A,4.01|3.3
May 1,7:15pm,USD,red,ADP Non-Farm Employment Change,192K,179K,208K
May 1,8:30pm,CAD,yellow,Manufacturing PMI,49.4,N/A,49.8
May 1,8:45pm,USD,red,Final Manufacturing PMI,50.0,49.9,49.9
May 1,9:00pm,USD,red,ISM Manufacturing PMI,49.2,50.0,50.3
May 1,9:00pm,USD,red,JOLTS Job Openings,8.49M,8.68M,8.81M
May 1,9:00pm,USD,orange,ISM Manufacturing Prices,60.9,55.5,55.8
May 1,9:00pm,USD,yellow,Construction Spending m/m,-0.2%,0.3%,0.0%
May 1,All Day,USD,yellow,Wards Total Vehicle Sales,15.7M,15.7M,15.5M
May 1,9:30pm,USD,yellow,Crude Oil Inventories,7.3M,-2.3M,-6.4M
May 2,1:00am,USD,red,Federal Funds Rate,5.50%,5.50%,5.50%
May 2,1:00am,USD,red,FOMC Statement,N/A,N/A,N/A
May 2,1:30am,USD,red,FOMC Press Conference,N/A,N/A,N/A
May 2,3:15am,CAD,red,BOC Gov Macklem Speaks,N/A,N/A,N/A
May 2,5:45am,NZD,yellow,Building Consents m/m,-0.2%,N/A,15.9%
May 2,6:50am,JPY,yellow,Monetary Base y/y,2.1%,1.7%,1.6%
May 2,6:50am,JPY,yellow,Monetary Policy Meeting Minutes,N/A,N/A,N/A
May 2,All Day,CNY,gray,Bank Holiday,N/A,N/A,N/A
May 2,8:30am,AUD,yellow,Building Approvals m/m,1.9%,3.5%,-0.9%
May 2,8:30am,AUD,yellow,Goods Trade Balance,5.02B,7.19B,6.59B
May 2,11:59am,JPY,yellow,Consumer Confidence,38.3,39.7,39.5
May 2,1:30pm,CHF,red,CPI m/m,0.3%,0.1%,0.0%
May 2,1:30pm,CHF,yellow,Retail Sales y/y,-0.1%,0.2%,0.2%
May 2,2:15pm,EUR,yellow,Spanish Manufacturing PMI,52.2,51.3,51.4
