date,time,currency,impact,event,actual,forecast,previous
Jun 1,12:30am,USD,yellow,FOMC Member Jefferson Speaks,N/A,N/A,N/A
Jun 1,1:00am,USD,yellow,Beige Book,N/A,N/A,N/A
Jun 1,6:50am,JPY,yellow,Capital Spending q/y,11.0%,6.1%,7.7%
Jun 1,Tentative,JPY,yellow,Final Manufacturing PMI,50.6,50.8,50.8
Jun 1,8:30am,AUD,yellow,Private Capital Expenditure q/q,2.4%,1.1%,3.0%
Jun 1,8:45am,CNY,yellow,Caixin Manufacturing PMI,50.9,49.5,49.5
Jun 1,10:35am,JPY,yellow,10-y Bond Auction,0.44|3.7,N/A,0.43|3.6
Jun 1,1:00pm,CHF,yellow,Trade Balance,2.60B,3.73B,4.53B
Jun 1,1:00pm,EUR,yellow,German Retail Sales m/m,0.8%,1.0%,-1.3%
Jun 1,1:00pm,GBP,yellow,Nationwide HPI m/m,-0.1%,-0.5%,0.4%
Jun 1,1:30pm,AUD,yellow,Commodity Prices y/y,-22.2%,N/A,-19.2%
Jun 1,1:45pm,EUR,yellow,French Gov Budget Balance,-83.7B,N/A,-54.7B
Jun 1,2:15pm,EUR,yellow,Spanish Manufacturing PMI,48.4,47.9,49.0
Jun 1,2:30pm,CHF,yellow,Gov Board Member Schlegel Speaks,N/A,N/A,N/A
Jun 1,2:30pm,CHF,yellow,Manufacturing PMI,43.2,44.5,45.3
Jun 1,2:45pm,EUR,yellow,Italian Manufacturing PMI,45.9,45.8,46.8
Jun 1,2:50pm,EUR,yellow,French Final Manufacturing PMI,45.7,46.1,46.1
Jun 1,2:55pm,EUR,yellow,German Final Manufacturing PMI,43.2,42.9,42.9
Jun 1,3:00pm,EUR,yellow,Final Manufacturing PMI,44.8,44.6,44.6
Jun 1,3:00pm,EUR,yellow,Italian Monthly Unemployment Rate,7.8%,7.8%,7.9%
Jun 1,3:30pm,GBP,yellow,Final Manufacturing PMI,47.1,46.9,46.9
Jun 1,3:30pm,GBP,yellow,M4 Money Supply m/m,0.0%,-0.2%,-0.6%
Jun 1,3:30pm,GBP,yellow,Mortgage Approvals,49K,54K,51K
Jun 1,3:30pm,GBP,yellow,Net Lending to Individuals m/m,0.2B,2.2B,1.6B
Jun 1,3:59pm,EUR,yellow,French 10-y Bond Auction,2.85|1.9,N/A,2.83|1.9
Jun 1,4:00pm,EUR,red,CPI Flash Estimate y/y,6.1%,6.3%,7.0%
Jun 1,4:00pm,EUR,orange,Core CPI Flash Estimate y/y,5.3%,5.5%,5.6%
Jun 1,4:00pm,EUR,yellow,Unemployment Rate,6.5%,6.5%,6.5%
Jun 1,4:30pm,EUR,orange,ECB President Lagarde Speaks,N/A,N/A,N/A
Jun 1,6:30pm,EUR,yellow,ECB Monetary Policy Meeting Accounts,N/A,N/A,N/A
Jun 1,6:30pm,USD,yellow,Challenger Job Cuts y/y,286.7%,N/A,175.9%
Jun 1,7:15pm,USD,red,ADP Non-Farm Employment Change,278K,173K,291K
Jun 1,7:30pm,USD,red,Unemployment Claims,232K,236K,230K
Jun 1,7:30pm,USD,yellow,Revised Nonfarm Productivity q/q,-2.1%,-2.6%,-2.7%
Jun 1,7:30pm,USD,yellow,Revised Unit Labor Costs q/q,4.2%,6.2%,6.3%
Jun 1,8:30pm,CAD,yellow,Manufacturing PMI,49.0,N/A,50.2
Jun 1,8:45pm,USD,yellow,Final Manufacturing PMI,48.4,48.5,48.5
Jun 1,9:00pm,USD,red,ISM Manufacturing PMI,46.9,47.0,47.1
Jun 1,9:00pm,USD,orange,ISM Manufacturing Prices,44.2,52.4,53.2
