date,time,currency,impact,event,actual,forecast,previous
Feb 2,9:00am,USD,red,ISM Manufacturing PMI,52.6,48.5,47.9
Feb 2,9:30pm,AUD,red,Cash Rate,3.85%,3.85%,3.60%
Feb 2,9:30pm,AUD,red,RBA Monetary Policy Statement,N/A,N/A,N/A
Feb 2,9:30pm,AUD,red,RBA Rate Statement,N/A,N/A,N/A
Feb 2,10:30pm,AUD,red,RBA Press Conference,N/A,N/A,N/A
Feb 3,3:45pm,NZD,red,Employment Change q/q,0.5%,0.3%,0.0%
Feb 3,3:45pm,NZD,red,Unemployment Rate,5.4%,5.3%,5.3%
Feb 4,7:15am,USD,red,ADP Non-Farm Employment Change,22K,46K,37K
Feb 4,9:00am,USD,red,ISM Services PMI,53.8,53.5,54.4
Feb 5,6:00am,GBP,red,BOE Monetary Policy Report,N/A,N/A,N/A
Feb 5,6:00am,GBP,red,Monetary Policy Summary,N/A,N/A,N/A
Feb 5,6:00am,GBP,red,MPC Official Bank Rate Votes,0-4-5,0-2-7,0-5-4
Feb 5,6:00am,GBP,red,Official Bank Rate,3.75%,3.75%,3.75%
Feb 5,6:30am,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Feb 5,7:15am,EUR,red,Main Refinancing Rate,2.15%,2.15%,2.15%
Feb 5,7:15am,EUR,red,Monetary Policy Statement,N/A,N/A,N/A
Feb 5,7:30am,USD,red,Unemployment Claims,231K,212K,209K
Feb 5,7:45am,EUR,red,ECB Press Conference,N/A,N/A,N/A
Feb 5,9:00am,USD,red,JOLTS Job Openings,6.54M,7.25M,6.93M
Feb 5,11:25am,CAD,red,BOC Gov Macklem Speaks,N/A,N/A,N/A
Feb 5,4:30pm,AUD,red,RBA Gov Bullock Speaks,N/A,N/A,N/A
Feb 6,7:30am,CAD,red,Employment Change,-24.8K,5.2K,8.2K
Feb 6,7:30am,CAD,red,Unemployment Rate,6.5%,6.8%,6.8%
Feb 6,9:00am,USD,red,Prelim UoM Consumer Sentiment,57.3,55.0,56.4
Feb 6,9:00am,USD,red,Prelim UoM Inflation Expectations,3.5%,N/A,4.0%
Feb 8,All Day,JPY,red,Lower House Elections,N/A,N/A,N/A
Feb 10,7:30am,USD,red,Core Retail Sales m/m,0.0%,0.3%,0.4%
Feb 10,7:30am,USD,red,Retail Sales m/m,0.0%,0.4%,0.6%
Feb 11,7:30am,USD,red,Average Hourly Earnings m/m,0.4%,0.3%,0.1%
Feb 11,7:30am,USD,red,Non-Farm Employment Change,130K,66K,48K
Feb 11,7:30am,USD,red,Unemployment Rate,4.3%,4.4%,4.4%
Feb 12,1:00am,GBP,red,GDP m/m,0.1%,0.1%,0.2%
Feb 12,7:30am,USD,red,Unemployment Claims,227K,222K,232K
Feb 13,1:30am,CHF,red,CPI m/m,-0.1%,0.0%,0.0%
Feb 13,7:30am,USD,red,Core CPI m/m,0.3%,0.3%,0.2%
Feb 13,7:30am,USD,red,Core CPI y/y,2.5%,2.5%,2.6%
Feb 13,7:30am,USD,red,CPI m/m,0.2%,0.3%,0.3%
Feb 13,7:30am,USD,red,CPI y/y,2.4%,2.5%,2.7%
Feb 17,1:00am,GBP,red,Claimant Count Change,28.6K,22.8K,2.7K
Feb 17,7:30am,CAD,red,CPI m/m,0.0%,0.1%,-0.2%
Feb 17,7:30am,CAD,red,Median CPI y/y,2.5%,2.5%,2.6%
Feb 17,7:30am,CAD,red,Trimmed CPI y/y,2.4%,2.6%,2.7%
Feb 17,7:00pm,NZD,red,Official Cash Rate,2.25%,2.25%,2.25%
Feb 17,7:00pm,NZD,red,RBNZ Monetary Policy Statement,N/A,N/A,N/A
Feb 17,7:00pm,NZD,red,RBNZ Rate Statement,N/A,N/A,N/A
Feb 17,8:00pm,NZD,red,RBNZ Press Conference,N/A,N/A,N/A
Feb 18,1:00am,GBP,red,CPI y/y,3.0%,3.0%,3.4%
Feb 18,1:00pm,USD,red,FOMC Meeting Minutes,N/A,N/A,N/A
Feb 18,1:10pm,NZD,red,RBNZ Gov Breman Speaks,N/A,N/A,N/A
Feb 18,6:30pm,AUD,red,Employment Change,17.8K,20.0K,68.5K
Feb 18,6:30pm,AUD,red,Unemployment Rate,4.1%,4.2%,4.1%
