date,time,currency,impact,event,actual,forecast,previous
Mar 2,7:00am,USD,red,ISM Manufacturing PMI,52.4,51.7,52.6
Mar 2,1:10pm,AUD,red,RBA Gov Bullock Speaks,N/A,N/A,N/A
Mar 2,8:00pm,JPY,red,BOJ Gov Ueda Speaks,N/A,N/A,N/A
Mar 3,4:30am,GBP,red,Annual Budget Release,N/A,N/A,N/A
Mar 3,4:30pm,AUD,red,GDP q/q,0.8%,0.7%,0.5%
Mar 4,5:15am,USD,red,ADP Non-Farm Employment Change,63K,50K,11K
Mar 4,7:00am,USD,red,ISM Services PMI,56.1,53.5,53.8
Mar 5,5:30am,USD,red,Unemployment Claims,213K,215K,213K
Mar 6,5:30am,USD,red,Average Hourly Earnings m/m,0.4%,0.3%,0.4%
Mar 6,5:30am,USD,red,Core Retail Sales m/m,0.0%,0.1%,0.0%
Mar 6,5:30am,USD,red,Non-Farm Employment Change,-92K,58K,126K
Mar 6,5:30am,USD,red,Retail Sales m/m,-0.2%,-0.3%,0.0%
Mar 6,5:30am,USD,red,Unemployment Rate,4.4%,4.3%,4.3%
Mar 11,5:30am,USD,red,Core CPI m/m,0.2%,0.2%,0.3%
Mar 11,5:30am,USD,red,Core CPI y/y,2.5%,2.5%,2.5%
Mar 11,5:30am,USD,red,CPI m/m,0.3%,0.3%,0.2%
Mar 11,5:30am,USD,red,CPI y/y,2.4%,2.4%,2.4%
Mar 12,5:30am,USD,red,Unemployment Claims,213K,214K,214K
Mar 13,12:00am,GBP,red,GDP m/m,0.0%,0.2%,0.1%
Mar 13,5:30am,CAD,red,Employment Change,-83.9K,10.3K,-24.8K
Mar 13,5:30am,CAD,red,Unemployment Rate,6.7%,6.6%,6.5%
Mar 13,5:30am,USD,red,Core PCE Price Index m/m,0.4%,0.4%,0.4%
Mar 13,5:30am,USD,red,Prelim GDP q/q,0.7%,1.4%,1.4%
Mar 13,7:00am,USD,red,JOLTS Job Openings,6.95M,6.76M,6.55M
Mar 16,5:30am,CAD,red,CPI m/m,0.5%,0.7%,0.0%
Mar 16,5:30am,CAD,red,Median CPI y/y,2.3%,2.4%,2.5%
Mar 16,5:30am,CAD,red,Trimmed CPI y/y,2.3%,2.4%,2.4%
Mar 16,8:30pm,AUD,red,Cash Rate,4.10%,4.10%,3.85%
Mar 16,8:30pm,AUD,red,RBA Rate Statement,N/A,N/A,N/A
Mar 16,9:30pm,AUD,red,RBA Press Conference,N/A,N/A,N/A
Mar 18,5:30am,USD,red,Core PPI m/m,0.5%,0.3%,0.8%
Mar 18,5:30am,USD,red,PPI m/m,0.7%,0.3%,0.5%
Mar 18,6:45am,CAD,red,BOC Rate Statement,N/A,N/A,N/A
Mar 18,6:45am,CAD,red,Overnight Rate,2.25%,2.25%,2.25%
Mar 18,7:30am,CAD,red,BOC Press Conference,N/A,N/A,N/A
Mar 18,11:00am,USD,red,Federal Funds Rate,3.75%,3.75%,3.75%
Mar 18,11:00am,USD,red,FOMC Economic Projections,N/A,N/A,N/A
Mar 18,11:00am,USD,red,FOMC Statement,N/A,N/A,N/A
Mar 18,11:30am,USD,red,FOMC Press Conference,N/A,N/A,N/A
Mar 18,2:45pm,NZD,red,GDP q/q,0.2%,0.5%,0.9%
Mar 18,5:30pm,AUD,red,Employment Change,48.9K,20.8K,26.1K
Mar 18,5:30pm,AUD,red,Unemployment Rate,4.3%,4.1%,4.1%
Mar 18,7:46pm,JPY,red,BOJ Policy Rate,<0.75%,<0.75%,<0.75%
Mar 18,7:46pm,JPY,red,Monetary Policy Statement,N/A,N/A,N/A
Mar 18,11:30pm,JPY,red,BOJ Press Conference,N/A,N/A,N/A
Mar 19,12:00am,GBP,red,Claimant Count Change,24.7K,25.8K,4.7K
Mar 19,1:30am,CHF,red,SNB Monetary Policy Assessment,N/A,N/A,N/A
Mar 19,1:30am,CHF,red,SNB Policy Rate,0.00%,0.00%,0.00%
