date,time,currency,impact,event,actual,forecast,previous
Mar 1,2:30am,USD,yellow,FOMC Member Goolsbee Speaks,N/A,N/A,N/A
Mar 1,4:45am,NZD,yellow,Building Consents m/m,-1.5%,N/A,-7.1%
Mar 1,7:01am,GBP,yellow,BRC Shop Price Index y/y,8.4%,N/A,8.0%
Mar 1,7:30am,AUD,red,CPI y/y,7.4%,8.1%,8.4%
Mar 1,7:30am,AUD,orange,GDP q/q,0.5%,0.8%,0.7%
Mar 1,7:30am,JPY,yellow,Final Manufacturing PMI,47.7,47.4,47.4
Mar 1,8:30am,CNY,yellow,Manufacturing PMI,52.6,50.7,50.1
Mar 1,8:30am,CNY,yellow,Non-Manufacturing PMI,56.3,55.0,54.4
Mar 1,8:45am,CNY,yellow,Caixin Manufacturing PMI,51.6,50.7,49.2
Mar 1,12:30pm,AUD,yellow,Commodity Prices y/y,3.6%,N/A,11.0%
Mar 1,2:00pm,GBP,yellow,Nationwide HPI m/m,-0.5%,-0.5%,-0.6%
Mar 1,All Day,EUR,yellow,German Prelim CPI m/m,0.8%,0.5%,1.0%
Mar 1,2:30pm,CHF,yellow,Retail Sales y/y,-2.2%,-2.2%,-3.0%
Mar 1,3:15pm,EUR,yellow,Spanish Manufacturing PMI,50.7,49.1,48.4
Mar 1,3:30pm,CHF,yellow,Manufacturing PMI,48.9,50.4,49.3
Mar 1,3:45pm,EUR,yellow,Italian Manufacturing PMI,52.0,50.9,50.4
Mar 1,3:50pm,EUR,yellow,French Final Manufacturing PMI,47.4,47.9,47.9
Mar 1,3:55pm,EUR,yellow,German Final Manufacturing PMI,46.3,46.5,46.5
Mar 1,3:55pm,EUR,yellow,German Unemployment Change,2K,-9K,-11K
Mar 1,4:00pm,EUR,yellow,Final Manufacturing PMI,48.5,48.5,48.5
Mar 1,4:30pm,GBP,yellow,Final Manufacturing PMI,49.3,49.2,49.2
Mar 1,4:30pm,GBP,yellow,M4 Money Supply m/m,1.3%,-0.9%,-0.9%
Mar 1,4:30pm,GBP,yellow,Mortgage Approvals,40K,37K,41K
Mar 1,4:30pm,GBP,yellow,Net Lending to Individuals m/m,4.1B,4.6B,3.9B
Mar 1,5:00pm,EUR,yellow,German Buba President Nagel Speaks,N/A,N/A,N/A
Mar 1,5:00pm,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Mar 1,9:00pm,USD,yellow,FOMC Member Kashkari Speaks,N/A,N/A,N/A
Mar 1,9:30pm,CAD,yellow,Manufacturing PMI,52.4,N/A,51.0
Mar 1,9:45pm,USD,yellow,Final Manufacturing PMI,47.3,47.8,47.8
Mar 1,10:00pm,USD,red,ISM Manufacturing PMI,47.7,47.9,47.4
Mar 1,10:00pm,USD,yellow,Construction Spending m/m,-0.1%,0.2%,-0.7%
Mar 1,10:00pm,USD,yellow,ISM Manufacturing Prices,51.3,45.5,44.5
Mar 1,All Day,USD,yellow,Wards Total Vehicle Sales,14.9M,14.7M,15.7M
Mar 1,10:30pm,USD,yellow,Crude Oil Inventories,1.2M,1.7M,7.6M
Mar 2,4:45am,NZD,yellow,Overseas Trade Index q/q,1.8%,-1.7%,-3.9%
Mar 2,6:50am,JPY,yellow,Capital Spending q/y,7.7%,7.2%,9.8%
Mar 2,6:50am,JPY,yellow,Monetary Base y/y,-1.6%,-3.2%,-3.8%
Mar 2,7:30am,AUD,yellow,Building Approvals m/m,-27.6%,-7.1%,15.3%
Mar 2,10:35am,JPY,yellow,10-y Bond Auction,0.50|7.6,N/A,0.49|4.6
Mar 2,12:00pm,JPY,yellow,Consumer Confidence,31.1,32.1,31.0
Mar 2,2:45pm,EUR,yellow,French Gov Budget Balance,-21.1B,N/A,-151.5B
Mar 2,3:00pm,EUR,yellow,Spanish Unemployment Change,2.6K,11.5K,70.7K
Mar 2,4:00pm,EUR,yellow,Italian Monthly Unemployment Rate,7.9%,7.8%,7.8%
Mar 2,4:49pm,EUR,yellow,Spanish 10-y Bond Auction,3.77|1.9,N/A,3.40|1.8
Mar 2,5:00pm,EUR,orange,Core CPI Flash Estimate y/y,5.6%,5.3%,5.3%
Mar 2,5:00pm,EUR,orange,CPI Flash Estimate y/y,8.5%,8.3%,8.6%
Mar 2,5:00pm,EUR,yellow,Italian Prelim CPI m/m,0.3%,0.1%,0.1%
Mar 2,5:00pm,EUR,yellow,Unemployment Rate,6.7%,6.6%,6.6%
Mar 2,5:03pm,EUR,yellow,French 10-y Bond Auction,3.20|2.3,N/A,2.68|2.1
Mar 2,7:30pm,EUR,yellow,ECB Monetary Policy Meeting Accounts,N/A,N/A,N/A
Mar 2,8:30pm,USD,orange,Unemployment Claims,190K,196K,192K
Mar 2,8:30pm,USD,yellow,Revised Nonfarm Productivity q/q,1.7%,2.5%,3.0%
Mar 2,8:30pm,USD,yellow,Revised Unit Labor Costs q/q,3.2%,1.6%,1.1%
Mar 2,10:00pm,GBP,yellow,MPC Member Pill Speaks,N/A,N/A,N/A
Mar 2,10:30pm,USD,yellow,Natural Gas Storage,-81B,-72B,-71B
Mar 3,2:06am,NZD,red,RBNZ Gov Orr Speaks,N/A,N/A,N/A
Mar 3,4:00am,USD,orange,FOMC Member Waller Speaks,N/A,N/A,N/A
Mar 3,6:00am,USD,yellow,FOMC Member Kashkari Speaks,N/A,N/A,N/A
Mar 3,6:30am,JPY,yellow,Tokyo Core CPI y/y,3.3%,3.3%,4.3%
Mar 3,6:30am,JPY,yellow,Unemployment Rate,2.4%,2.5%,2.5%
Mar 3,8:45am,CNY,yellow,Caixin Services PMI,55.0,54.3,52.9
Mar 3,2:00pm,EUR,yellow,German Trade Balance,16.7B,11.1B,10.0B
Mar 3,2:45pm,EUR,yellow,French Industrial Production m/m,-1.9%,-0.2%,1.5%
Mar 3,3:15pm,EUR,yellow,Spanish Services PMI,56.7,53.8,52.7
Mar 3,3:45pm,EUR,yellow,Italian Services PMI,51.6,52.4,51.2
Mar 3,3:50pm,EUR,yellow,French Final Services PMI,53.1,52.8,52.8
Mar 3,3:55pm,EUR,yellow,German Final Services PMI,50.9,51.3,51.3
Mar 3,4:00pm,EUR,yellow,Final Services PMI,52.7,53.0,53.0
Mar 3,4:30pm,GBP,yellow,Final Services PMI,53.5,53.3,53.3
Mar 3,5:00pm,EUR,yellow,PPI m/m,-2.8%,-0.3%,1.1%
Mar 3,8:30pm,CAD,yellow,Building Permits m/m,-4.0%,1.7%,-7.7%
Mar 3,8:30pm,CAD,yellow,Labor Productivity q/q,-0.5%,0.2%,-0.3%
Mar 3,9:45pm,USD,yellow,Final Services PMI,50.6,50.5,50.5
Mar 3,10:00pm,USD,red,ISM Services PMI,55.1,54.5,55.2
Mar 3,11:00pm,USD,yellow,Fed Monetary Policy Report,N/A,N/A,N/A
Mar 3,11:00pm,USD,yellow,FOMC Member Logan Speaks,N/A,N/A,N/A
Mar 6,7:00am,AUD,yellow,MI Inflation Gauge m/m,0.4%,N/A,0.9%
Mar 6,7:00am,NZD,yellow,ANZ Commodity Prices m/m,1.3%,N/A,-0.9%
Mar 6,2:30pm,CHF,red,CPI m/m,0.7%,0.5%,0.6%
Mar 6,4:30pm,EUR,yellow,Sentix Investor Confidence,-11.1,-5.6,-8.0
Mar 6,4:30pm,GBP,yellow,Construction PMI,54.6,48.7,48.4
Mar 6,5:00pm,EUR,yellow,Retail Sales m/m,0.3%,0.7%,-1.7%
Mar 6,10:00pm,CAD,orange,Ivey PMI,51.6,55.9,60.1
Mar 6,10:00pm,USD,yellow,Factory Orders m/m,-1.6%,-1.8%,1.7%
Mar 7,6:30am,JPY,yellow,Average Cash Earnings y/y,0.8%,1.9%,4.1%
Mar 7,7:01am,GBP,yellow,BRC Retail Sales Monitor y/y,4.9%,4.8%,3.9%
Mar 7,7:30am,AUD,yellow,Goods Trade Balance,11.69B,12.25B,12.99B
Mar 7,10:30am,AUD,red,Cash Rate,3.60%,3.60%,3.35%
Mar 7,10:30am,AUD,red,RBA Rate Statement,N/A,N/A,N/A
Mar 7,10:35am,JPY,yellow,30-y Bond Auction,1.42|3.0,N/A,1.54|3.3
Mar 7,11:21am,CNY,yellow,Trade Balance,810B,572B,550B
Mar 7,11:22am,CNY,yellow,USD-Denominated Trade Balance,116.9B,82.5B,78.0B
Mar 7,1:45pm,CHF,yellow,Unemployment Rate,1.9%,1.9%,1.9%
