date,time,currency,impact,event,actual,forecast,previous
Jan 1,All Day,NZD,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,AUD,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,JPY,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,CNY,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,CHF,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,EUR,gray,French Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,EUR,gray,German Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,EUR,gray,Italian Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,GBP,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,CAD,gray,Bank Holiday,N/A,N/A,N/A
Jan 1,All Day,USD,gray,Bank Holiday,N/A,N/A,N/A
Jan 2,All Day,NZD,gray,Bank Holiday,N/A,N/A,N/A
Jan 2,All Day,JPY,gray,Bank Holiday,N/A,N/A,N/A
Jan 2,7:01am,GBP,yellow,BRC Shop Price Index y/y,4.3%,N/A,4.3%
Jan 2,8:45am,CNY,orange,Caixin Manufacturing PMI,50.8,50.4,50.7
Jan 2,12:30pm,AUD,yellow,Commodity Prices y/y,-10.7%,N/A,-12.8%
Jan 2,All Day,CHF,gray,Bank Holiday,N/A,N/A,N/A
Jan 2,3:15pm,EUR,yellow,Spanish Manufacturing PMI,46.2,46.3,46.3
Jan 2,3:45pm,EUR,yellow,Italian Manufacturing PMI,45.3,44.3,44.4
Jan 2,3:50pm,EUR,yellow,French Final Manufacturing PMI,42.1,42.0,42.0
Jan 2,3:55pm,EUR,yellow,German Final Manufacturing PMI,43.3,43.1,43.1
Jan 2,4:00pm,EUR,yellow,Final Manufacturing PMI,44.4,44.2,44.2
Jan 2,4:00pm,EUR,yellow,M3 Money Supply y/y,-0.9%,-1.0%,-1.0%
Jan 2,4:00pm,EUR,yellow,Private Loans y/y,0.5%,0.8%,0.6%
Jan 2,4:30pm,GBP,yellow,Final Manufacturing PMI,46.2,46.4,46.4
Jan 2,9:30pm,CAD,yellow,Manufacturing PMI,45.4,N/A,47.7
Jan 2,9:45pm,USD,yellow,Final Manufacturing PMI,47.9,48.4,48.2
Jan 2,9:51pm,NZD,yellow,GDT Price Index,1.2%,N/A,2.3%
Jan 2,10:00pm,USD,yellow,Construction Spending m/m,0.4%,0.6%,1.2%
Jan 3,All Day,JPY,gray,Bank Holiday,N/A,N/A,N/A
Jan 3,3:00pm,EUR,yellow,Spanish Unemployment Change,-27.4K,-15.7K,-24.6K
Jan 3,3:30pm,CHF,yellow,Manufacturing PMI,43.0,43.0,42.1
Jan 3,3:55pm,EUR,yellow,German Unemployment Change,5K,20K,21K
Jan 3,8:30pm,USD,orange,FOMC Member Barkin Speaks,N/A,N/A,N/A
Jan 3,10:00pm,USD,red,ISM Manufacturing PMI,47.4,47.2,46.7
Jan 3,10:00pm,USD,red,JOLTS Job Openings,8.79M,8.84M,8.85M
Jan 3,10:00pm,USD,orange,ISM Manufacturing Prices,45.2,49.5,49.9
Jan 3,All Day,USD,yellow,Wards Total Vehicle Sales,15.8M,15.5M,15.3M
Jan 4,2:00am,USD,red,FOMC Meeting Minutes,N/A,N/A,N/A
Jan 4,7:30am,JPY,yellow,Final Manufacturing PMI,47.9,47.7,47.7
Jan 4,8:45am,CNY,orange,Caixin Services PMI,52.9,51.6,51.5
Jan 4,All Day,EUR,red,German Prelim CPI m/m,0.1%,0.2%,-0.4%
Jan 4,2:45pm,EUR,yellow,French Prelim CPI m/m,0.1%,0.2%,-0.2%
Jan 4,3:15pm,EUR,yellow,Spanish Services PMI,51.5,51.1,51.0
Jan 4,3:45pm,EUR,yellow,Italian Services PMI,49.8,49.8,49.5
Jan 4,3:50pm,EUR,yellow,French Final Services PMI,45.7,44.3,44.3
Jan 4,3:55pm,EUR,yellow,German Final Services PMI,49.3,48.4,48.4
Jan 4,4:00pm,EUR,yellow,Final Services PMI,48.8,48.1,48.1
Jan 4,4:30pm,GBP,yellow,Final Services PMI,53.4,52.7,52.7
Jan 4,4:30pm,GBP,yellow,M4 Money Supply m/m,-0.1%,0.2%,0.3%
Jan 4,4:30pm,GBP,yellow,Mortgage Approvals,50K,48K,48K
Jan 4,4:30pm,GBP,yellow,Net Lending to Individuals m/m,2.0B,1.6B,1.3B
Jan 4,5:01pm,EUR,yellow,French 10-y Bond Auction,2.59|1.8,N/A,2.75|3.0
Jan 4,7:30pm,USD,yellow,Challenger Job Cuts y/y,-20.2%,N/A,-40.8%
Jan 4,8:15pm,USD,red,ADP Non-Farm Employment Change,164K,120K,101K
Jan 4,8:30pm,USD,red,Unemployment Claims,202K,217K,220K
Jan 4,9:45pm,USD,yellow,Final Services PMI,51.4,51.3,51.3
Jan 4,10:30pm,USD,yellow,Natural Gas Storage,-14B,-33B,-87B
Jan 4,11:00pm,USD,yellow,Crude Oil Inventories,-5.5M,-3.2M,-7.1M
Jan 5,6:50am,JPY,yellow,Monetary Base y/y,7.8%,9.0%,8.9%
Jan 5,12:00pm,JPY,yellow,Consumer Confidence,37.2,36.4,36.1
Jan 5,2:00pm,EUR,yellow,German Retail Sales m/m,-2.5%,-0.5%,1.3%
Jan 5,2:00pm,GBP,yellow,Halifax HPI m/m,1.1%,0.1%,0.6%
Jan 5,4:30pm,GBP,orange,Construction PMI,46.8,46.1,45.5
Jan 5,5:00pm,EUR,orange,Core CPI Flash Estimate y/y,3.4%,3.4%,3.6%
Jan 5,5:00pm,EUR,orange,CPI Flash Estimate y/y,2.9%,3.0%,2.4%
Jan 5,5:00pm,EUR,yellow,PPI m/m,-0.3%,-0.1%,0.3%
Jan 5,5:00pm,EUR,yellow,Italian Prelim CPI m/m,0.2%,0.2%,-0.5%
Jan 5,8:30pm,CAD,red,Employment Change,0.1K,12.2K,24.9K
Jan 5,8:30pm,CAD,red,Unemployment Rate,5.8%,5.9%,5.8%
Jan 5,8:30pm,USD,red,Average Hourly Earnings m/m,0.4%,0.3%,0.4%
Jan 5,8:30pm,USD,red,Non-Farm Employment Change,216K,168K,173K
Jan 5,8:30pm,USD,red,Unemployment Rate,3.7%,3.8%,3.7%
Jan 5,10:00pm,CAD,orange,Ivey PMI,56.3,55.0,54.7
Jan 5,10:00pm,USD,red,ISM Services PMI,50.6,52.5,52.7
Jan 5,10:00pm,USD,yellow,Factory Orders m/m,2.6%,2.0%,-3.4%
Jan 6,1:30am,USD,orange,FOMC Member Barkin Speaks,N/A,N/A,N/A
Jan 8,All Day,JPY,gray,Bank Holiday,N/A,N/A,N/A
Jan 8,2:00pm,EUR,yellow,German Factory Orders m/m,0.3%,1.1%,-3.8%
