event_date,time_raw,event_datetime_utc,event_datetime_hcm,currency,impact,event,actual,forecast,previous,source_timezone,updated_at
2026-02-02,12:30pm,2026-02-02T05:30:00+00:00,2026-02-02T12:30:00+07:00,AUD,yellow,Commodity Prices y/y,2.6%,,-3.2%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,2:00pm,2026-02-02T07:00:00+00:00,2026-02-02T14:00:00+07:00,EUR,yellow,German Retail Sales m/m,0.1%,-0.1%,-0.5%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,2:00pm,2026-02-02T07:00:00+00:00,2026-02-02T14:00:00+07:00,GBP,yellow,Nationwide HPI m/m,0.3%,0.3%,-0.4%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,2:30pm,2026-02-02T07:30:00+00:00,2026-02-02T14:30:00+07:00,CHF,yellow,Retail Sales y/y,2.9%,2.5%,1.7%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,3:15pm,2026-02-02T08:15:00+00:00,2026-02-02T15:15:00+07:00,EUR,yellow,Spanish Manufacturing PMI,49.2,49.9,49.6,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,3:30pm,2026-02-02T08:30:00+00:00,2026-02-02T15:30:00+07:00,CHF,yellow,Manufacturing PMI,48.8,47.2,45.8,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,3:45pm,2026-02-02T08:45:00+00:00,2026-02-02T15:45:00+07:00,EUR,yellow,Italian Manufacturing PMI,48.1,48.5,47.9,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,3:50pm,2026-02-02T08:50:00+00:00,2026-02-02T15:50:00+07:00,EUR,yellow,French Final Manufacturing PMI,51.2,51.0,51.0,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,3:55pm,2026-02-02T08:55:00+00:00,2026-02-02T15:55:00+07:00,EUR,yellow,German Final Manufacturing PMI,49.1,48.7,48.7,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,4:00pm,2026-02-02T09:00:00+00:00,2026-02-02T16:00:00+07:00,EUR,yellow,Final Manufacturing PMI,49.5,49.4,49.4,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,4:30pm,2026-02-02T09:30:00+00:00,2026-02-02T16:30:00+07:00,GBP,yellow,Final Manufacturing PMI,51.8,51.6,51.6,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,6:45pm,2026-02-02T11:45:00+00:00,2026-02-02T18:45:00+07:00,GBP,yellow,MPC Member Breeden Speaks,,,,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,7:00am,2026-02-02T00:00:00+00:00,2026-02-02T07:00:00+07:00,AUD,yellow,MI Inflation Gauge m/m,0.2%,,1.0%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,7:30am,2026-02-02T00:30:00+00:00,2026-02-02T07:30:00+07:00,AUD,yellow,ANZ Job Advertisements m/m,4.4%,,-0.8%,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,7:30am,2026-02-02T00:30:00+00:00,2026-02-02T07:30:00+07:00,JPY,yellow,Final Manufacturing PMI,51.5,51.5,51.5,Asia/Novosibirsk,2026-09-03T06:47:30Z
2026-02-02,8:45am,2026-02-02T01:45:00+00:00,2026-02-02T08:45:00+07:00,CNY,yellow,RatingDog Manufacturing PMI,50.3,50.1,50.1,Asia/Novosibirsk,2026-09-03T06:47:30Z
